Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,AffectedAreas,
2019,Dorian,5,15.21,185,"5,100,000,000",84,"Florida, Georgia, South Carolina, North Carolina",
2019,Nestor,TS,7.77,60,"150,000,000",3,"Florida, Georgia",
2020,Arthur,TS,5.35,60,"112,000",0,"Florida, North Carolina",
2020,Bertha,TS,7.4,50,"130,000",1,"Florida, South Carolina",
2020,Hanna,1,15,90,"1,200,000,000",9,Texas,
2020,Isaias,1,6,90,"5.030,000,000",17,"South Carolina, North Carolina",
2020,Marco,1,11.81,75,"35,000,000",0,"Florida, Mississippi, Alabama, North Carolina, Oklahoma",
2020,Laura,4,10,150,"23,300,000,000",81,"Florida, Louisiana, Texas, Mississippi, Arkansas",
2020,Gamma,1,15,75,"100,000,000",6,Florida,
2020,Delta,4,15,140,"3,090,000,000",6,"Louisiana, Alabama, Mississippi",
2020,Zeta,3,2.43,115,"4,400,000,000",9,"Mississippi, Alabama",
2020,Eta,4,26.33,150,"8,300,000,000",275,"Florida, North Carolina",
2021,Elsa,1,8,85,"1,200,000,000",13,"Florida, Georgia, South Carolina, North Carolina",
2021,Fred,TS,9,65,"1,300,000,000",7,"Florida, North Carolina",
2022,Ian,5,31.52,160,"113,000,000,000",161,"Florida, Georgia, South Carolina, North Carolina",
2022,Nicole,1,8,75,"1,000,000,000",11,"Florida, Georgia, South Carolina",
2023,Idalia,4,5.5,130,"3,600,000,000",12,"Florida, Georgia, South Carolina, North Carolina",
